Aux out [V]	Aux in [V]	PDH out [a.u.]
-5.3008E-1	2.9903E-1	1.1330E+3
-5.2926E-1	2.8081E-1	1.2440E+3
-5.2843E-1	2.6842E-1	1.0800E+3
-5.2749E-1	2.6016E-1	4.6800E+2
-5.2667E-1	2.6113E-1	-7.2900E+2
-5.2584E-1	2.6647E-1	-1.0550E+3
-5.2502E-1	2.8178E-1	-2.4670E+3
-5.2408E-1	3.1360E-1	-3.1700E+3
-5.2326E-1	3.2356E-1	1.2210E+3
-5.2232E-1	3.0048E-1	3.2450E+3
-5.2149E-1	2.6939E-1	1.8400E+3
-5.2067E-1	2.5481E-1	1.1100E+3
-5.1984E-1	2.4582E-1	1.7100E+2
-5.1902E-1	2.4315E-1	2.5200E+2
-5.1808E-1	2.3951E-1	7.7000E+1
-5.1726E-1	2.3684E-1	-5.0000E+0
-5.1643E-1	2.3562E-1	4.1000E+1
-5.1561E-1	2.3708E-1	-7.2500E+2
-5.1479E-1	2.3586E-1	-2.1900E+2
-5.1384E-1	2.3319E-1	2.1000E+1
-5.1302E-1	2.3198E-1	-4.4000E+1
-5.1220E-1	2.3368E-1	-6.1900E+2
-5.1137E-1	2.3611E-1	-8.4800E+2
-5.1055E-1	2.4194E-1	-4.1800E+2
-5.0961E-1	2.4169E-1	1.5200E+2
-5.0878E-1	2.3684E-1	4.1600E+2
-5.0784E-1	2.3659E-1	4.8200E+2
-5.0702E-1	2.3465E-1	-5.6000E+1
-5.0620E-1	2.3684E-1	-2.6700E+2
-5.0526E-1	2.3708E-1	-2.4800E+2
-5.0443E-1	2.3781E-1	-4.0300E+2
-5.0361E-1	2.3829E-1	-4.7000E+2
-5.0278E-1	2.3951E-1	-3.0700E+2
-5.0196E-1	2.3975E-1	2.1000E+1
-5.0114E-1	2.4218E-1	-6.5400E+2
-5.0020E-1	2.4364E-1	-4.6600E+2
-4.9937E-1	2.4510E-1	-6.9800E+2
-4.9855E-1	2.4558E-1	-5.8800E+2
-4.9773E-1	2.4777E-1	-9.5500E+2
-4.9690E-1	2.4995E-1	-5.7600E+2
-4.9596E-1	2.5190E-1	-5.8000E+2
-4.9514E-1	2.5457E-1	-1.0680E+3
-4.9431E-1	2.5724E-1	-4.6200E+2
-4.9337E-1	2.5943E-1	-4.8500E+2
-4.9255E-1	2.6137E-1	1.9600E+2
-4.9161E-1	2.6356E-1	-2.3000E+2
-4.9078E-1	2.6720E-1	-2.7700E+2
-4.8996E-1	2.6866E-1	-1.3050E+3
-4.8914E-1	2.7182E-1	-6.3400E+2
-4.8831E-1	2.7473E-1	-7.5400E+2
-4.8737E-1	2.7692E-1	-6.8100E+2
-4.8655E-1	2.7983E-1	-1.0490E+3
-4.8572E-1	2.8494E-1	-1.0040E+3
-4.8490E-1	2.8737E-1	-3.0600E+2
-4.8408E-1	2.9150E-1	-1.1060E+3
-4.8314E-1	2.9344E-1	-7.1600E+2
-4.8231E-1	2.9781E-1	-8.3400E+2
-4.8149E-1	3.0218E-1	-1.2320E+3
-4.8067E-1	3.0534E-1	-4.4000E+2
-4.7984E-1	3.1117E-1	-1.1340E+3
-4.7902E-1	3.1166E-1	-1.3420E+3
-4.7808E-1	3.1700E-1	-8.3700E+2
-4.7714E-1	3.2138E-1	-9.2300E+2
-4.7631E-1	3.2478E-1	-6.9600E+2
-4.7549E-1	3.2818E-1	-1.7260E+3
-4.7466E-1	3.3449E-1	-5.5400E+2
-4.7372E-1	3.3790E-1	-1.0990E+3
-4.7290E-1	3.4300E-1	-1.3840E+3
-4.7208E-1	3.4688E-1	-1.0570E+3
-4.7125E-1	3.5029E-1	-1.5410E+3
-4.7043E-1	3.5490E-1	-1.3150E+3
-4.6949E-1	3.6000E-1	-1.0050E+3
-4.6866E-1	3.6340E-1	-8.5500E+2
-4.6784E-1	3.6996E-1	-1.3610E+3
-4.6702E-1	3.7482E-1	-1.1450E+3
-4.6619E-1	3.7968E-1	-7.4300E+2
-4.6525E-1	3.8527E-1	-9.1300E+2
-4.6443E-1	3.8867E-1	-1.2010E+3
-4.6360E-1	3.9377E-1	-1.0040E+3
-4.6266E-1	3.9863E-1	-1.0440E+3
-4.6184E-1	4.0446E-1	-1.5390E+3
-4.6090E-1	4.1005E-1	-5.3500E+2
-4.6008E-1	4.1539E-1	-1.1450E+3
-4.5925E-1	4.1928E-1	-1.1140E+3
-4.5843E-1	4.2584E-1	-9.5100E+2
-4.5760E-1	4.2972E-1	-1.0230E+3
-4.5678E-1	4.3483E-1	-7.7900E+2
-4.5584E-1	4.4260E-1	-1.3790E+3
-4.5502E-1	4.4673E-1	-1.2530E+3
-4.5419E-1	4.5256E-1	-9.6900E+2
-4.5337E-1	4.5790E-1	-1.1880E+3
-4.5255E-1	4.6325E-1	-5.6600E+2
-4.5160E-1	4.6981E-1	-8.8600E+2
-4.5078E-1	4.7370E-1	-1.4160E+3
-4.4996E-1	4.7977E-1	-8.8500E+2
-4.4913E-1	4.8681E-1	-1.5100E+3
-4.4831E-1	4.9119E-1	-1.1230E+3
-4.4737E-1	4.9775E-1	-1.6740E+3
-4.4643E-1	5.0236E-1	-1.5690E+3
-4.4560E-1	5.0746E-1	-1.4040E+3
-4.4478E-1	5.1062E-1	-1.3390E+3
-4.4396E-1	5.1937E-1	-9.5800E+2
-4.4302E-1	5.2350E-1	-1.2260E+3
-4.4219E-1	5.2763E-1	-1.4120E+3
-4.4137E-1	5.3370E-1	-9.4300E+2
-4.4054E-1	5.3953E-1	-1.6730E+3
-4.3972E-1	5.4415E-1	-1.4550E+3
-4.3878E-1	5.4876E-1	-1.3630E+3
-4.3796E-1	5.5386E-1	-1.1190E+3
