Aux out [V]	Aux in [V]	PDH out [a.u.]
-9.6754E-2	7.0910E-1	7.2800E+2
-9.6401E-2	7.0885E-1	3.9500E+2
-9.6166E-2	7.0764E-1	3.8000E+2
-9.5930E-2	7.0837E-1	7.1100E+2
-9.5695E-2	7.0667E-1	-2.8000E+1
-9.5460E-2	7.0618E-1	6.5500E+2
-9.5224E-2	7.0545E-1	1.0400E+2
-9.4989E-2	7.0424E-1	5.9700E+2
-9.4754E-2	7.0594E-1	2.9700E+2
-9.4401E-2	7.0448E-1	5.7100E+2
-9.4166E-2	7.0181E-1	-1.3200E+2
-9.3930E-2	7.0108E-1	3.2700E+2
-9.3695E-2	7.0181E-1	8.4200E+2
-9.3460E-2	7.0157E-1	1.8100E+2
-9.3224E-2	7.0132E-1	5.2600E+2
-9.2989E-2	7.0035E-1	1.5300E+2
-9.2636E-2	7.0108E-1	3.7100E+2
-9.2401E-2	6.9841E-1	4.6100E+2
-9.2165E-2	6.9841E-1	6.0800E+2
-9.1930E-2	6.9695E-1	3.3000E+1
-9.1695E-2	6.9598E-1	1.8100E+2
-9.1459E-2	6.9476E-1	9.6600E+2
-9.1107E-2	6.9549E-1	3.3100E+2
-9.0871E-2	6.9501E-1	1.8200E+2
-9.0636E-2	6.9525E-1	-1.3000E+1
-9.0401E-2	6.9258E-1	2.1700E+2
-9.0165E-2	6.9258E-1	1.7200E+2
-8.9930E-2	6.9209E-1	6.1700E+2
-8.9695E-2	6.9161E-1	3.6900E+2
-8.9342E-2	6.9185E-1	3.5600E+2
-8.9106E-2	6.8991E-1	7.0900E+2
-8.8871E-2	6.8918E-1	7.2300E+2
-8.8636E-2	6.8893E-1	9.3400E+2
-8.8400E-2	6.8942E-1	5.2000E+1
-8.8165E-2	6.8553E-1	9.1400E+2
-8.7930E-2	6.8675E-1	3.0100E+2
-8.7694E-2	6.8675E-1	4.3400E+2
-8.7342E-2	6.8505E-1	2.4000E+2
-8.7106E-2	6.8553E-1	6.9700E+2
-8.6871E-2	6.8383E-1	7.2000E+2
-8.6636E-2	6.8383E-1	2.9600E+2
-8.6400E-2	6.8359E-1	-2.3000E+1
-8.6047E-2	6.8213E-1	1.9000E+2
-8.5812E-2	6.8286E-1	1.1200E+3
-8.5577E-2	6.8116E-1	7.7100E+2
-8.5341E-2	6.7970E-1	6.6000E+2
-8.5106E-2	6.8116E-1	7.7100E+2
-8.4871E-2	6.7873E-1	3.0000E+2
-8.4635E-2	6.7800E-1	5.8500E+2
-8.4282E-2	6.7630E-1	4.0600E+2
-8.4047E-2	6.7727E-1	3.0700E+2
-8.3812E-2	6.7557E-1	8.2700E+2
-8.3577E-2	6.7606E-1	4.0200E+2
-8.3341E-2	6.7387E-1	7.9900E+2
-8.3106E-2	6.7339E-1	1.1860E+3
-8.2871E-2	6.7314E-1	5.2200E+2
-8.2635E-2	6.7241E-1	4.7300E+2
-8.2282E-2	6.6999E-1	3.0100E+2
-8.2047E-2	6.6950E-1	1.0650E+3
-8.1812E-2	6.7047E-1	6.5700E+2
-8.1576E-2	6.6804E-1	1.5500E+2
-8.1341E-2	6.6901E-1	6.6700E+2
-8.1106E-2	6.6950E-1	6.7700E+2
-8.0753E-2	6.6756E-1	6.1600E+2
-8.0517E-2	6.6488E-1	3.9500E+2
-8.0282E-2	6.6367E-1	5.2000E+2
-8.0047E-2	6.6391E-1	5.6500E+2
-7.9812E-2	6.6173E-1	6.2700E+2
-7.9576E-2	6.6367E-1	8.1500E+2
-7.9341E-2	6.5978E-1	7.4800E+2
-7.8988E-2	6.6075E-1	9.0700E+2
-7.8753E-2	6.5954E-1	6.3700E+2
-7.8517E-2	6.5857E-1	1.2200E+2
-7.8282E-2	6.5832E-1	1.4610E+3
-7.8047E-2	6.5930E-1	2.8400E+2
-7.7811E-2	6.5857E-1	5.7700E+2
