Aux out [V]	Aux in [V]	PDH out [a.u.]
-9.1682E-1	7.3995E-1	-1.3500E+2
-9.1493E-1	7.3995E-1	-5.7300E+2
-9.1282E-1	7.3849E-1	-7.7600E+2
-9.1093E-1	7.3728E-1	-4.0900E+2
-9.0905E-1	7.3582E-1	3.2800E+2
-9.0717E-1	7.3776E-1	3.9900E+2
-9.0529E-1	7.3412E-1	-5.5700E+2
-9.0317E-1	7.3436E-1	-6.7400E+2
-9.0128E-1	7.3388E-1	-8.4200E+2
-8.9940E-1	7.3169E-1	2.9000E+1
-8.9752E-1	7.3315E-1	-5.3200E+2
-8.9564E-1	7.3072E-1	2.4000E+1
-8.9375E-1	7.2877E-1	-1.3000E+2
-8.9164E-1	7.2853E-1	5.0000E+0
-8.8975E-1	7.2732E-1	-6.8200E+2
-8.8787E-1	7.2635E-1	2.9000E+1
-8.8599E-1	7.2343E-1	-3.3700E+2
-8.8411E-1	7.2124E-1	-2.8100E+2
-8.8199E-1	7.2052E-1	-5.5600E+2
-8.8011E-1	7.1906E-1	-4.4600E+2
-8.7822E-1	7.1493E-1	7.6000E+1
-8.7634E-1	7.1614E-1	-2.8000E+2
-8.7446E-1	7.1177E-1	-4.3200E+2
-8.7234E-1	7.1007E-1	-1.9700E+2
-8.7046E-1	7.0837E-1	-3.5600E+2
-8.6858E-1	7.0618E-1	-3.7700E+2
-8.6669E-1	7.0448E-1	-4.0500E+2
-8.6481E-1	7.0108E-1	3.0700E+2
-8.6269E-1	6.9962E-1	1.5000E+2
-8.6081E-1	6.9549E-1	-2.6900E+2
-8.5893E-1	6.9233E-1	-4.1900E+2
-8.5705E-1	6.8991E-1	-2.0400E+2
-8.5516E-1	6.8796E-1	-2.6700E+2
-8.5305E-1	6.8505E-1	-8.0100E+2
-8.5116E-1	6.8140E-1	-4.0600E+2
-8.4928E-1	6.7752E-1	-4.0200E+2
-8.4740E-1	6.7582E-1	1.7500E+2
-8.4552E-1	6.7193E-1	-6.8000E+1
-8.4363E-1	6.6707E-1	2.3000E+2
-8.4152E-1	6.6367E-1	3.8900E+2
-8.3963E-1	6.6173E-1	6.5000E+2
-8.3775E-1	6.5832E-1	2.2000E+2
-8.3587E-1	6.5298E-1	1.2100E+2
-8.3399E-1	6.5055E-1	2.0400E+2
-8.3187E-1	6.4618E-1	4.3800E+2
-8.2999E-1	6.4180E-1	-7.0000E+0
-8.2810E-1	6.3816E-1	5.7700E+2
-8.2622E-1	6.3282E-1	-2.4400E+2
-8.2434E-1	6.2893E-1	-5.4400E+2
-8.2222E-1	6.2553E-1	1.8400E+2
-8.2034E-1	6.1873E-1	2.1700E+2
-8.1846E-1	6.1727E-1	1.3300E+2
-8.1657E-1	6.1533E-1	-6.8200E+2
-8.1469E-1	6.1144E-1	1.2670E+3
-8.1257E-1	6.0294E-1	3.0800E+2
-8.1069E-1	5.9468E-1	-9.6000E+1
-8.0881E-1	5.8957E-1	7.5900E+2
-8.0692E-1	5.8642E-1	1.3000E+2
-8.0504E-1	5.8083E-1	-8.0000E+1
-8.0292E-1	5.7597E-1	1.5200E+2
-8.0104E-1	5.7257E-1	3.4000E+1
-7.9916E-1	5.7403E-1	-4.6300E+2
-7.9728E-1	5.6722E-1	8.1800E+2
-7.9539E-1	5.5848E-1	3.0000E+0
-7.9351E-1	5.5216E-1	5.3600E+2
-7.9139E-1	5.4706E-1	2.1900E+2
-7.8951E-1	5.4536E-1	1.3000E+1
-7.8763E-1	5.4779E-1	-2.9300E+2
-7.8575E-1	5.5556E-1	6.0100E+2
-7.8386E-1	5.3443E-1	8.6800E+2
-7.8175E-1	5.2471E-1	4.2400E+2
-7.7986E-1	5.2228E-1	-2.7200E+2
-7.7798E-1	5.1621E-1	-7.1000E+1
-7.7610E-1	5.1402E-1	9.0000E+1
-7.7422E-1	5.1378E-1	-5.6000E+1
-7.7210E-1	5.1864E-1	-4.3200E+2
-7.7022E-1	5.4099E-1	-2.9820E+3
-7.6833E-1	5.5386E-1	2.1350E+3
-7.6645E-1	5.1086E-1	5.4500E+2
-7.6457E-1	4.9677E-1	5.5400E+2
-7.6245E-1	4.9167E-1	1.1500E+2
-7.6057E-1	4.8560E-1	-4.7000E+2
-7.5869E-1	4.8341E-1	8.7000E+1
