Aux out [V]	Aux in [V]	PDH out [a.u.]
-1.3252E-1	7.5283E-1	9.9000E+1
-1.3182E-1	7.5307E-1	-2.2700E+2
-1.3099E-1	7.5258E-1	-1.5900E+2
-1.3029E-1	7.5307E-1	-1.3600E+2
-1.2958E-1	7.5404E-1	2.7000E+2
-1.2876E-1	7.5258E-1	-5.4200E+2
-1.2793E-1	7.5185E-1	1.5400E+2
-1.2723E-1	7.5040E-1	6.3000E+1
-1.2652E-1	7.5064E-1	1.3400E+2
-1.2570E-1	7.4821E-1	2.3000E+1
-1.2487E-1	7.4821E-1	-4.5600E+2
-1.2417E-1	7.4772E-1	6.6400E+2
-1.2346E-1	7.4748E-1	-2.7800E+2
-1.2264E-1	7.4578E-1	-1.2600E+2
-1.2193E-1	7.4627E-1	-2.5000E+2
-1.2111E-1	7.4602E-1	7.0000E+1
-1.2029E-1	7.4481E-1	-1.2000E+1
-1.1958E-1	7.4262E-1	-1.1500E+2
-1.1887E-1	7.4359E-1	-4.7000E+1
-1.1805E-1	7.4116E-1	1.9900E+2
-1.1723E-1	7.4068E-1	7.5000E+1
-1.1652E-1	7.3874E-1	1.1100E+2
-1.1581E-1	7.3776E-1	2.9900E+2
-1.1499E-1	7.3898E-1	4.2700E+2
-1.1428E-1	7.3655E-1	5.2200E+2
-1.1358E-1	7.3606E-1	-4.1900E+2
-1.1276E-1	7.3436E-1	-2.6700E+2
-1.1193E-1	7.3436E-1	-2.6000E+1
-1.1123E-1	7.3485E-1	2.9600E+2
-1.1052E-1	7.3266E-1	-4.9000E+1
-1.0970E-1	7.3072E-1	-6.5400E+2
-1.0887E-1	7.2853E-1	-5.7100E+2
-1.0817E-1	7.2926E-1	2.9800E+2
-1.0734E-1	7.2586E-1	6.5000E+1
-1.0664E-1	7.2610E-1	-1.0000E+2
-1.0593E-1	7.2440E-1	4.9400E+2
-1.0511E-1	7.2392E-1	-1.1400E+2
-1.0428E-1	7.2319E-1	1.0900E+2
-1.0358E-1	7.2246E-1	2.2400E+2
-1.0287E-1	7.1930E-1	4.5000E+2
-1.0205E-1	7.1930E-1	1.0300E+2
-1.0122E-1	7.1639E-1	1.5000E+2
-1.0052E-1	7.1541E-1	3.5000E+2
-9.9813E-2	7.1396E-1	-1.7000E+2
-9.8989E-2	7.1153E-1	-2.6000E+1
