Aux out [V]	Aux in [V]	PDH out [a.u.]
-5.2137E-1	3.1895E-1	2.8700E+2
-5.2137E-1	3.2016E-1	7.8700E+2
-5.2126E-1	3.2040E-1	-2.3000E+1
-5.2126E-1	3.2089E-1	1.1560E+3
-5.2114E-1	3.2065E-1	5.6500E+2
-5.2114E-1	3.1968E-1	8.2900E+2
-5.2102E-1	3.1968E-1	4.8400E+2
-5.2102E-1	3.1798E-1	5.4900E+2
-5.2090E-1	3.1919E-1	4.4800E+2
-5.2090E-1	3.1919E-1	6.7300E+2
-5.2079E-1	3.1870E-1	9.1500E+2
-5.2079E-1	3.1749E-1	7.9700E+2
-5.2067E-1	3.1725E-1	3.5100E+2
-5.2067E-1	3.1870E-1	-8.6000E+1
-5.2067E-1	3.1895E-1	2.8400E+2
-5.2055E-1	3.1870E-1	6.3900E+2
-5.2055E-1	3.1627E-1	1.4200E+3
-5.2043E-1	3.1676E-1	8.0000E+2
-5.2043E-1	3.1798E-1	8.6600E+2
-5.2032E-1	3.1773E-1	3.3800E+2
-5.2032E-1	3.1603E-1	7.9000E+2
-5.2020E-1	3.1700E-1	6.4900E+2
-5.2020E-1	3.1822E-1	6.3000E+2
-5.2008E-1	3.1603E-1	6.6700E+2
-5.2008E-1	3.1530E-1	5.4600E+2
-5.1996E-1	3.1627E-1	3.7700E+2
-5.1996E-1	3.1725E-1	6.4000E+2
-5.1984E-1	3.1555E-1	4.2500E+2
-5.1984E-1	3.1506E-1	2.1600E+2
-5.1984E-1	3.1530E-1	3.9600E+2
-5.1973E-1	3.1457E-1	7.8700E+2
-5.1973E-1	3.1385E-1	1.4700E+2
-5.1961E-1	3.1385E-1	3.8400E+2
-5.1961E-1	3.1530E-1	2.7600E+2
-5.1949E-1	3.1433E-1	2.0600E+2
-5.1949E-1	3.1117E-1	4.9000E+2
-5.1937E-1	3.1263E-1	8.6000E+1
-5.1937E-1	3.1336E-1	7.7600E+2
-5.1926E-1	3.1142E-1	9.5000E+2
-5.1926E-1	3.1360E-1	4.8600E+2
-5.1914E-1	3.1214E-1	4.0000E+2
-5.1914E-1	3.1166E-1	3.9500E+2
-5.1902E-1	3.1190E-1	8.6900E+2
-5.1902E-1	3.1190E-1	7.7500E+2
-5.1902E-1	3.1190E-1	1.9600E+2
-5.1890E-1	3.1166E-1	6.2500E+2
-5.1890E-1	3.1312E-1	6.1900E+2
-5.1879E-1	3.1214E-1	8.0500E+2
-5.1879E-1	3.1214E-1	1.3170E+3
-5.1867E-1	3.0972E-1	6.4900E+2
-5.1867E-1	3.1069E-1	-1.6900E+2
-5.1855E-1	3.1093E-1	-3.0000E+2
-5.1855E-1	3.1142E-1	6.9200E+2
-5.1843E-1	3.1142E-1	4.0600E+2
-5.1843E-1	3.0947E-1	3.7700E+2
-5.1831E-1	3.0996E-1	3.8700E+2
-5.1831E-1	3.0972E-1	4.5300E+2
-5.1820E-1	3.0947E-1	4.0100E+2
-5.1820E-1	3.1093E-1	2.6100E+2
-5.1820E-1	3.0826E-1	4.7000E+1
-5.1808E-1	3.0874E-1	1.3800E+2
-5.1808E-1	3.0874E-1	2.5800E+2
-5.1796E-1	3.1044E-1	1.7000E+2
-5.1796E-1	3.0850E-1	-4.1200E+2
-5.1784E-1	3.0947E-1	3.9700E+2
-5.1784E-1	3.0704E-1	3.7400E+2
-5.1773E-1	3.0631E-1	6.8000E+1
-5.1773E-1	3.0656E-1	4.1700E+2
-5.1761E-1	3.0923E-1	1.0520E+3
-5.1761E-1	3.0656E-1	9.9000E+2
-5.1749E-1	3.0704E-1	2.2600E+2
-5.1749E-1	3.0729E-1	4.6600E+2
-5.1737E-1	3.0510E-1	1.7000E+2
-5.1737E-1	3.0704E-1	3.4400E+2
-5.1737E-1	3.0583E-1	6.5700E+2
-5.1726E-1	3.0704E-1	5.4300E+2
-5.1726E-1	3.0656E-1	7.2700E+2
-5.1714E-1	3.0607E-1	8.5500E+2
-5.1714E-1	3.0583E-1	4.4700E+2
-5.1702E-1	3.0486E-1	6.8400E+2
-5.1702E-1	3.0413E-1	3.4600E+2
-5.1690E-1	3.0413E-1	7.7100E+2
-5.1690E-1	3.0583E-1	-4.7000E+1
-5.1679E-1	3.0437E-1	6.2100E+2
-5.1679E-1	3.0583E-1	-2.6000E+1
-5.1667E-1	3.0486E-1	5.4600E+2
-5.1667E-1	3.0364E-1	3.2000E+2
-5.1667E-1	3.0389E-1	4.1600E+2
-5.1655E-1	3.0461E-1	4.6200E+2
-5.1655E-1	3.0316E-1	1.8300E+2
-5.1643E-1	3.0486E-1	-2.2000E+1
-5.1643E-1	3.0437E-1	5.1800E+2
-5.1631E-1	3.0364E-1	1.5700E+2
-5.1631E-1	3.0437E-1	4.2300E+2
-5.1620E-1	3.0510E-1	7.6400E+2
-5.1620E-1	3.0340E-1	-2.1900E+2
-5.1608E-1	3.0486E-1	-2.5200E+2
-5.1608E-1	3.0364E-1	6.8000E+2
-5.1596E-1	3.0218E-1	6.5600E+2
-5.1596E-1	3.0194E-1	4.7200E+2
-5.1584E-1	3.0194E-1	2.1900E+2
-5.1584E-1	3.0243E-1	3.0600E+2
-5.1584E-1	3.0121E-1	-1.7900E+2
-5.1573E-1	3.0194E-1	2.5000E+2
-5.1573E-1	3.0218E-1	-5.0000E+1
-5.1561E-1	3.0218E-1	6.6800E+2
-5.1561E-1	3.0218E-1	2.3700E+2
-5.1549E-1	3.0194E-1	3.9900E+2
-5.1549E-1	3.0291E-1	4.3500E+2
-5.1537E-1	3.0146E-1	1.3900E+2
-5.1537E-1	3.0218E-1	-3.0000E+0
-5.1526E-1	3.0170E-1	1.0440E+3
-5.1526E-1	3.0146E-1	9.6000E+1
-5.1514E-1	3.0146E-1	6.6600E+2
-5.1514E-1	3.0097E-1	6.1000E+2
-5.1502E-1	2.9976E-1	2.1900E+2
-5.1502E-1	2.9976E-1	9.7500E+2
-5.1502E-1	3.0121E-1	2.2800E+2
-5.1490E-1	3.0170E-1	3.1900E+2
-5.1490E-1	2.9830E-1	6.2400E+2
-5.1479E-1	2.9903E-1	6.2700E+2
-5.1479E-1	2.9830E-1	7.0300E+2
-5.1467E-1	2.9951E-1	9.2300E+2
-5.1467E-1	2.9805E-1	8.0600E+2
-5.1455E-1	2.9805E-1	5.3000E+2
-5.1455E-1	2.9903E-1	8.3200E+2
-5.1443E-1	2.9830E-1	4.3700E+2
-5.1443E-1	2.9781E-1	5.4000E+2
-5.1431E-1	2.9684E-1	1.0390E+3
-5.1431E-1	2.9563E-1	1.0030E+3
-5.1420E-1	2.9660E-1	8.5700E+2
-5.1420E-1	2.9684E-1	1.1830E+3
-5.1420E-1	2.9660E-1	4.9700E+2
-5.1408E-1	2.9660E-1	1.0780E+3
-5.1408E-1	2.9587E-1	2.5200E+2
-5.1396E-1	2.9514E-1	7.7500E+2
-5.1396E-1	2.9538E-1	4.0200E+2
-5.1384E-1	2.9490E-1	9.6900E+2
-5.1384E-1	2.9514E-1	4.4900E+2
-5.1373E-1	2.9247E-1	1.1920E+3
-5.1373E-1	2.9392E-1	3.1700E+2
-5.1361E-1	2.9320E-1	4.8900E+2
-5.1361E-1	2.9295E-1	7.6100E+2
