Aux out [V]	Aux in [V]	PDH out [a.u.]
-6.1809E-1	6.7946E-1	4.3100E+2
-6.1785E-1	6.7946E-1	4.9200E+2
-6.1773E-1	6.7995E-1	-4.2400E+2
-6.1750E-1	6.8067E-1	4.3500E+2
-6.1726E-1	6.7824E-1	-3.4700E+2
-6.1703E-1	6.7922E-1	3.1800E+2
-6.1679E-1	6.7752E-1	5.4500E+2
-6.1668E-1	6.7752E-1	1.5500E+2
-6.1644E-1	6.7752E-1	3.0600E+2
-6.1620E-1	6.7606E-1	4.9600E+2
-6.1597E-1	6.7776E-1	-8.2000E+1
-6.1573E-1	6.7509E-1	-5.4200E+2
-6.1562E-1	6.7630E-1	-9.3000E+1
-6.1538E-1	6.7387E-1	6.8500E+2
-6.1515E-1	6.7314E-1	4.4800E+2
-6.1491E-1	6.7290E-1	5.0100E+2
-6.1468E-1	6.7217E-1	-3.0000E+2
-6.1456E-1	6.7193E-1	-1.8200E+2
-6.1432E-1	6.6950E-1	3.6200E+2
-6.1409E-1	6.7047E-1	-3.6100E+2
-6.1385E-1	6.7120E-1	3.9000E+2
-6.1362E-1	6.6828E-1	7.7700E+2
-6.1350E-1	6.6877E-1	4.1700E+2
-6.1326E-1	6.6926E-1	-1.2700E+2
-6.1303E-1	6.6683E-1	4.2000E+2
-6.1279E-1	6.6658E-1	1.6100E+2
-6.1256E-1	6.6828E-1	2.3100E+2
-6.1232E-1	6.6610E-1	7.9000E+1
-6.1220E-1	6.6513E-1	4.5300E+2
-6.1197E-1	6.6464E-1	-1.2600E+2
-6.1173E-1	6.6294E-1	5.0200E+2
-6.1150E-1	6.6318E-1	1.0450E+3
-6.1126E-1	6.6245E-1	-3.4400E+2
-6.1115E-1	6.6148E-1	6.0200E+2
-6.1091E-1	6.6124E-1	6.3700E+2
-6.1067E-1	6.6245E-1	2.7500E+2
-6.1044E-1	6.5954E-1	2.0900E+2
-6.1020E-1	6.6002E-1	1.8300E+2
-6.1009E-1	6.5832E-1	1.5200E+2
-6.0985E-1	6.5857E-1	1.3500E+2
-6.0962E-1	6.5687E-1	-2.4200E+2
-6.0938E-1	6.5614E-1	-2.8100E+2
-6.0915E-1	6.5492E-1	3.8100E+2
-6.0903E-1	6.5468E-1	1.2300E+2
-6.0879E-1	6.5517E-1	5.9500E+2
-6.0856E-1	6.5419E-1	1.5500E+2
-6.0832E-1	6.5347E-1	1.4000E+2
-6.0809E-1	6.5128E-1	-5.1000E+1
-6.0797E-1	6.5031E-1	4.4900E+2
-6.0773E-1	6.5055E-1	1.7400E+2
-6.0750E-1	6.4812E-1	6.2100E+2
-6.0726E-1	6.4885E-1	5.4000E+1
-6.0703E-1	6.4739E-1	1.8700E+2
-6.0679E-1	6.4691E-1	3.7500E+2
-6.0667E-1	6.4691E-1	-5.0200E+2
-6.0644E-1	6.4666E-1	5.8400E+2
-6.0620E-1	6.4496E-1	1.5500E+3
-6.0597E-1	6.4375E-1	1.8500E+2
-6.0573E-1	6.4205E-1	6.8000E+2
-6.0562E-1	6.4205E-1	5.2000E+1
-6.0538E-1	6.4180E-1	7.8900E+2
-6.0514E-1	6.3986E-1	5.7800E+2
-6.0491E-1	6.3986E-1	6.2700E+2
-6.0467E-1	6.3962E-1	5.7300E+2
-6.0456E-1	6.3792E-1	7.3200E+2
-6.0432E-1	6.3597E-1	1.0180E+3
-6.0409E-1	6.3573E-1	5.2900E+2
-6.0385E-1	6.3452E-1	3.0100E+2
-6.0362E-1	6.3427E-1	2.8900E+2
-6.0350E-1	6.3452E-1	9.8000E+1
-6.0326E-1	6.3184E-1	5.8500E+2
-6.0303E-1	6.3087E-1	2.2400E+2
-6.0279E-1	6.3014E-1	9.5000E+1
-6.0256E-1	6.3063E-1	5.3100E+2
-6.0244E-1	6.2796E-1	8.8700E+2
-6.0220E-1	6.2674E-1	1.9700E+2
-6.0197E-1	6.2650E-1	8.6500E+2
-6.0173E-1	6.2577E-1	1.5000E+2
-6.0150E-1	6.2358E-1	3.9300E+2
-6.0126E-1	6.2504E-1	5.7900E+2
-6.0114E-1	6.2383E-1	8.9500E+2
-6.0091E-1	6.2164E-1	-1.4900E+2
-6.0067E-1	6.2164E-1	8.1400E+2
-6.0044E-1	6.2116E-1	7.0700E+2
-6.0020E-1	6.1970E-1	9.7600E+2
-6.0009E-1	6.1824E-1	3.9000E+2
-5.9985E-1	6.1654E-1	6.0800E+2
-5.9962E-1	6.1533E-1	5.1400E+2
-5.9938E-1	6.1630E-1	6.4800E+2
-5.9914E-1	6.1435E-1	5.4000E+2
-5.9903E-1	6.1557E-1	6.8000E+2
-5.9879E-1	6.1314E-1	-7.9000E+1
-5.9856E-1	6.1290E-1	6.4800E+2
-5.9832E-1	6.1047E-1	5.3600E+2
-5.9809E-1	6.0925E-1	4.7100E+2
-5.9797E-1	6.0901E-1	4.2500E+2
-5.9773E-1	6.0877E-1	7.7500E+2
-5.9750E-1	6.0707E-1	8.2600E+2
-5.9726E-1	6.0585E-1	4.9500E+2
-5.9703E-1	6.0634E-1	-1.6400E+2
-5.9691E-1	6.0366E-1	3.2900E+2
-5.9667E-1	6.0366E-1	4.0800E+2
-5.9644E-1	6.0318E-1	4.7800E+2
-5.9620E-1	6.0075E-1	1.2050E+3
-5.9597E-1	5.9953E-1	6.6700E+2
-5.9585E-1	5.9783E-1	4.4000E+2
-5.9561E-1	5.9881E-1	7.9600E+2
-5.9538E-1	5.9686E-1	5.8300E+2
-5.9514E-1	5.9638E-1	7.9300E+2
-5.9491E-1	5.9565E-1	6.7000E+1
-5.9467E-1	5.9346E-1	2.1200E+2
-5.9456E-1	5.9103E-1	1.1840E+3
-5.9432E-1	5.9103E-1	7.9700E+2
-5.9409E-1	5.8860E-1	-3.3000E+1
-5.9385E-1	5.8909E-1	9.2500E+2
-5.9361E-1	5.8787E-1	6.3200E+2
-5.9350E-1	5.8714E-1	5.5300E+2
-5.9326E-1	5.8593E-1	7.1400E+2
-5.9303E-1	5.8399E-1	7.9200E+2
-5.9279E-1	5.8423E-1	8.7400E+2
-5.9256E-1	5.8229E-1	8.4400E+2
-5.9244E-1	5.8253E-1	4.8100E+2
-5.9220E-1	5.8059E-1	5.2800E+2
-5.9197E-1	5.8107E-1	3.4600E+2
-5.9173E-1	5.7840E-1	1.1080E+3
-5.9150E-1	5.7816E-1	5.2000E+1
-5.9138E-1	5.7670E-1	3.3900E+2
-5.9114E-1	5.7670E-1	9.9600E+2
-5.9091E-1	5.7500E-1	5.0000E+0
-5.9067E-1	5.7233E-1	7.0400E+2
-5.9044E-1	5.7257E-1	1.2200E+2
-5.9032E-1	5.7111E-1	-6.3000E+1
-5.9009E-1	5.7038E-1	8.3500E+2
-5.8985E-1	5.6917E-1	2.7200E+2
