Aux out [V]	Aux in [V]	PDH out [a.u.]
3.6293E-1	7.4724E-1	-2.7700E+2
3.6316E-1	7.4772E-1	5.0000E+0
3.6352E-1	7.4529E-1	-3.5000E+1
3.6375E-1	7.4748E-1	-3.0000E+1
3.6399E-1	7.4481E-1	-7.7000E+1
3.6434E-1	7.4602E-1	-4.0000E+2
3.6457E-1	7.4505E-1	-4.5600E+2
3.6493E-1	7.4554E-1	-2.9100E+2
3.6516E-1	7.4529E-1	2.5000E+1
3.6552E-1	7.4554E-1	-7.5400E+2
3.6575E-1	7.4602E-1	5.2000E+1
3.6599E-1	7.4578E-1	-6.7700E+2
3.6634E-1	7.4311E-1	-1.6000E+1
3.6657E-1	7.4384E-1	3.3000E+1
3.6693E-1	7.4505E-1	-1.4400E+2
3.6716E-1	7.4457E-1	-4.5000E+1
3.6740E-1	7.4359E-1	1.1000E+1
3.6775E-1	7.4529E-1	4.0500E+2
3.6799E-1	7.4384E-1	2.5000E+2
3.6834E-1	7.4238E-1	-4.8600E+2
3.6857E-1	7.4384E-1	-6.4700E+2
3.6881E-1	7.4238E-1	-4.1000E+1
3.6916E-1	7.4286E-1	-2.8200E+2
3.6940E-1	7.4092E-1	-6.9700E+2
3.6975E-1	7.4165E-1	-8.8000E+1
3.6999E-1	7.4165E-1	1.8300E+2
3.7022E-1	7.3898E-1	-7.1800E+2
3.7058E-1	7.4092E-1	-7.6300E+2
3.7081E-1	7.4141E-1	-2.3000E+1
3.7116E-1	7.3995E-1	-5.6000E+1
3.7140E-1	7.3898E-1	-7.4500E+2
3.7163E-1	7.4044E-1	-8.7000E+1
3.7199E-1	7.3971E-1	-5.9700E+2
3.7222E-1	7.3946E-1	-4.9800E+2
3.7258E-1	7.3874E-1	-3.0600E+2
3.7281E-1	7.3849E-1	-3.3800E+2
3.7305E-1	7.3922E-1	-2.2400E+2
3.7340E-1	7.3776E-1	-6.9600E+2
3.7363E-1	7.3728E-1	2.0500E+2
3.7399E-1	7.3898E-1	-1.3500E+2
3.7422E-1	7.3728E-1	-4.4700E+2
3.7446E-1	7.3728E-1	-5.0300E+2
3.7481E-1	7.3752E-1	1.5400E+2
3.7505E-1	7.3655E-1	1.4000E+2
3.7540E-1	7.3801E-1	-4.0500E+2
3.7563E-1	7.3703E-1	-6.5000E+1
3.7587E-1	7.3631E-1	3.0700E+2
3.7622E-1	7.3509E-1	-9.0000E+0
3.7646E-1	7.3606E-1	-3.0900E+2
3.7681E-1	7.3485E-1	-1.0500E+2
3.7705E-1	7.3533E-1	-1.0700E+2
3.7728E-1	7.3533E-1	4.5900E+2
3.7763E-1	7.3582E-1	-2.2000E+2
3.7787E-1	7.3315E-1	-1.8000E+1
3.7822E-1	7.3315E-1	-3.8500E+2
3.7846E-1	7.3339E-1	-2.8700E+2
3.7869E-1	7.3242E-1	-4.2100E+2
3.7905E-1	7.3290E-1	-5.5000E+2
3.7928E-1	7.3266E-1	-1.5300E+2
3.7952E-1	7.3218E-1	3.8300E+2
3.7987E-1	7.3218E-1	1.7500E+2
3.8011E-1	7.2877E-1	-7.0000E+1
3.8046E-1	7.3096E-1	-8.2000E+1
3.8069E-1	7.3048E-1	2.3000E+1
3.8093E-1	7.3242E-1	-3.4000E+2
3.8128E-1	7.3169E-1	1.9100E+2
3.8152E-1	7.3169E-1	-7.6500E+2
3.8187E-1	7.3072E-1	-1.0600E+2
3.8211E-1	7.2877E-1	-2.5100E+2
3.8234E-1	7.2975E-1	-3.8200E+2
3.8269E-1	7.2732E-1	-2.6100E+2
3.8293E-1	7.2780E-1	5.6600E+2
3.8328E-1	7.2586E-1	-1.4900E+2
3.8352E-1	7.2829E-1	-3.9100E+2
3.8387E-1	7.2707E-1	2.3200E+2
3.8411E-1	7.2926E-1	3.7000E+2
3.8434E-1	7.2707E-1	-2.3600E+2
3.8469E-1	7.2537E-1	-4.2800E+2
3.8493E-1	7.2489E-1	-2.0700E+2
