Aux out [V]	Aux in [V]	PDH out [a.u.]
-7.8798E-1	6.7120E-1	2.1200E+2
-7.8751E-1	6.6877E-1	1.1500E+2
-7.8704E-1	6.6877E-1	2.1300E+2
-7.8645E-1	6.6731E-1	1.1400E+2
-7.8598E-1	6.6537E-1	4.5200E+2
-7.8539E-1	6.6343E-1	9.8000E+1
-7.8492E-1	6.6197E-1	-3.3200E+2
-7.8433E-1	6.6318E-1	3.0500E+2
-7.8386E-1	6.5978E-1	-4.1100E+2
-7.8339E-1	6.5784E-1	-1.9300E+2
-7.8281E-1	6.5735E-1	5.2000E+1
-7.8222E-1	6.5662E-1	-2.2400E+2
-7.8175E-1	6.5444E-1	4.9000E+2
-7.8128E-1	6.5419E-1	4.7500E+2
-7.8069E-1	6.5152E-1	7.0000E+1
-7.8022E-1	6.5055E-1	1.4400E+2
-7.7963E-1	6.5031E-1	-1.2400E+2
-7.7916E-1	6.4934E-1	1.3600E+2
-7.7857E-1	6.4836E-1	1.2100E+2
-7.7810E-1	6.4715E-1	-1.8000E+1
-7.7763E-1	6.4423E-1	7.2100E+2
-7.7704E-1	6.4472E-1	9.3000E+1
-7.7657E-1	6.4326E-1	-2.5400E+2
-7.7598E-1	6.4205E-1	3.0700E+2
-7.7551E-1	6.4180E-1	-2.0000E+0
-7.7504E-1	6.4059E-1	-7.7000E+1
-7.7445E-1	6.3889E-1	-4.6900E+2
-7.7386E-1	6.3792E-1	1.6000E+2
-7.7339E-1	6.3816E-1	1.0600E+2
-7.7292E-1	6.3768E-1	-2.9800E+2
-7.7233E-1	6.3719E-1	-5.3100E+2
-7.7175E-1	6.3792E-1	-3.8100E+2
-7.7128E-1	6.3840E-1	-4.6000E+1
-7.7080E-1	6.3573E-1	3.6800E+2
-7.7022E-1	6.3233E-1	1.0400E+3
-7.6975E-1	6.3209E-1	6.0300E+2
-7.6927E-1	6.2917E-1	4.6000E+2
-7.6869E-1	6.2553E-1	3.4700E+2
-7.6822E-1	6.2407E-1	2.7000E+2
-7.6763E-1	6.2310E-1	-8.3000E+1
-7.6716E-1	6.1994E-1	1.9200E+2
-7.6669E-1	6.1775E-1	-1.0400E+2
-7.6610E-1	6.1800E-1	-2.9400E+2
-7.6551E-1	6.1460E-1	7.4200E+2
