Aux out [V]	Aux in [V]	PDH out [a.u.]
-1.8057E-3	4.2778E-1	5.3700E+2
-1.8057E-3	4.2681E-1	-1.3200E+2
-1.6881E-3	4.2705E-1	-3.6900E+2
-1.6881E-3	4.2608E-1	2.1000E+2
-1.6881E-3	4.2584E-1	1.4100E+2
-1.6881E-3	4.2705E-1	4.0600E+2
-1.5704E-3	4.2657E-1	2.4900E+2
-1.5704E-3	4.2705E-1	-4.8500E+2
-1.5704E-3	4.2608E-1	2.5500E+2
-1.5704E-3	4.2827E-1	1.6400E+2
-1.4527E-3	4.2754E-1	4.6600E+2
-1.4527E-3	4.2754E-1	4.0800E+2
-1.4527E-3	4.2632E-1	4.3400E+2
-1.4527E-3	4.2851E-1	6.1900E+2
-1.3351E-3	4.2778E-1	2.6000E+2
-1.3351E-3	4.2657E-1	7.5100E+2
-1.3351E-3	4.2778E-1	6.4500E+2
-1.3351E-3	4.2875E-1	7.9400E+2
-1.3351E-3	4.2730E-1	6.1000E+2
-1.2174E-3	4.2632E-1	2.4200E+2
-1.2174E-3	4.2705E-1	2.7200E+2
-1.2174E-3	4.2730E-1	8.5500E+2
-1.2174E-3	4.2802E-1	2.5300E+2
-1.0998E-3	4.2730E-1	8.6600E+2
-1.0998E-3	4.2778E-1	6.8600E+2
-1.0998E-3	4.2778E-1	1.5200E+2
-1.0998E-3	4.2802E-1	5.6200E+2
-9.8212E-4	4.2900E-1	7.3100E+2
-9.8212E-4	4.2657E-1	5.2800E+2
-9.8212E-4	4.2681E-1	6.6000E+2
-9.8212E-4	4.2608E-1	7.2900E+2
-8.6446E-4	4.2851E-1	1.1200E+2
-8.6446E-4	4.2875E-1	-1.9300E+2
-8.6446E-4	4.2657E-1	-7.0000E+1
-8.6446E-4	4.2972E-1	-5.0400E+2
-8.6446E-4	4.2778E-1	7.0000E+0
-7.4681E-4	4.2827E-1	4.3500E+2
-7.4681E-4	4.2851E-1	5.6100E+2
-7.4681E-4	4.2705E-1	5.2100E+2
-7.4681E-4	4.2778E-1	1.3000E+1
-6.2915E-4	4.2802E-1	1.2000E+1
-6.2915E-4	4.2754E-1	-3.6000E+1
-6.2915E-4	4.2802E-1	5.4800E+2
-6.2915E-4	4.2657E-1	7.4400E+2
-5.1150E-4	4.2924E-1	1.4200E+2
-5.1150E-4	4.2730E-1	1.5700E+2
-5.1150E-4	4.2802E-1	4.9000E+2
-5.1150E-4	4.2754E-1	1.6000E+1
-3.9384E-4	4.2681E-1	6.3500E+2
-3.9384E-4	4.2851E-1	1.4900E+2
-3.9384E-4	4.2754E-1	5.4200E+2
-3.9384E-4	4.2875E-1	3.6000E+1
-3.9384E-4	4.2851E-1	1.5000E+2
-2.7618E-4	4.2875E-1	3.5800E+2
-2.7618E-4	4.2705E-1	1.2900E+2
-2.7618E-4	4.2851E-1	-1.6700E+2
-2.7618E-4	4.2778E-1	7.0100E+2
-1.5853E-4	4.2851E-1	-4.0000E+0
-1.5853E-4	4.2802E-1	4.0600E+2
-1.5853E-4	4.2778E-1	-1.6400E+2
-1.5853E-4	4.2827E-1	2.7100E+2
-4.0873E-5	4.2827E-1	2.1900E+2
-4.0873E-5	4.2875E-1	4.7300E+2
-4.0873E-5	4.2802E-1	4.8300E+2
-4.0873E-5	4.2997E-1	-7.0000E+0
-4.0873E-5	4.2948E-1	3.5400E+2
7.6783E-5	4.2900E-1	-4.0700E+2
7.6783E-5	4.2948E-1	1.0410E+3
7.6783E-5	4.2851E-1	-3.8200E+2
7.6783E-5	4.2972E-1	6.5300E+2
1.9444E-4	4.2657E-1	4.2400E+2
1.9444E-4	4.3070E-1	6.4500E+2
