Aux out [V]	Aux in [V]	PDH out [a.u.]
-7.8151E-1	6.6877E-1	6.4700E+2
-7.8139E-1	6.6901E-1	4.6900E+2
-7.8128E-1	6.6731E-1	-1.7200E+2
-7.8116E-1	6.6804E-1	2.3700E+2
-7.8104E-1	6.6780E-1	-4.0000E+0
-7.8081E-1	6.6707E-1	-4.6300E+2
-7.8069E-1	6.6828E-1	8.0900E+2
-7.8057E-1	6.6683E-1	-4.9300E+2
-7.8045E-1	6.6780E-1	-1.8400E+2
-7.8033E-1	6.6610E-1	5.8000E+2
-7.8022E-1	6.6561E-1	1.5000E+1
-7.7998E-1	6.6634E-1	3.9100E+2
-7.7986E-1	6.6513E-1	1.7400E+2
-7.7975E-1	6.6561E-1	-3.3500E+2
-7.7963E-1	6.6537E-1	-1.3300E+2
-7.7951E-1	6.6488E-1	3.0900E+2
-7.7928E-1	6.6683E-1	6.9000E+1
-7.7916E-1	6.6537E-1	4.7000E+1
-7.7904E-1	6.6343E-1	-3.5000E+1
-7.7892E-1	6.6440E-1	1.4300E+2
-7.7881E-1	6.6270E-1	2.0700E+2
-7.7869E-1	6.6343E-1	2.5000E+2
-7.7845E-1	6.6221E-1	1.4500E+2
-7.7833E-1	6.6464E-1	-3.5600E+2
-7.7822E-1	6.6294E-1	2.5700E+2
-7.7810E-1	6.6221E-1	-4.1000E+1
-7.7798E-1	6.6488E-1	-1.7500E+2
-7.7786E-1	6.6343E-1	-2.3300E+2
-7.7763E-1	6.6100E-1	1.9200E+2
-7.7751E-1	6.6100E-1	-2.9800E+2
-7.7739E-1	6.6173E-1	-2.6400E+2
-7.7728E-1	6.6027E-1	-1.2900E+2
-7.7716E-1	6.6100E-1	1.8300E+2
-7.7704E-1	6.6100E-1	6.3500E+2
-7.7692E-1	6.6100E-1	4.0800E+2
-7.7669E-1	6.5905E-1	3.1000E+2
-7.7657E-1	6.6027E-1	-1.3000E+2
-7.7645E-1	6.5930E-1	-6.2000E+1
-7.7633E-1	6.6051E-1	-1.0200E+2
-7.7622E-1	6.5954E-1	2.7900E+2
-7.7610E-1	6.5954E-1	5.3000E+2
-7.7586E-1	6.5808E-1	4.5500E+2
-7.7575E-1	6.5784E-1	-1.4000E+2
-7.7563E-1	6.6002E-1	-3.1900E+2
-7.7551E-1	6.5832E-1	7.6000E+1
-7.7539E-1	6.5784E-1	-2.3000E+1
-7.7528E-1	6.5832E-1	7.7000E+1
-7.7504E-1	6.5614E-1	3.4800E+2
-7.7492E-1	6.5687E-1	3.6900E+2
-7.7480E-1	6.5565E-1	-1.4900E+2
-7.7469E-1	6.5711E-1	-2.4200E+2
-7.7457E-1	6.5662E-1	1.5300E+2
-7.7433E-1	6.5711E-1	-1.5300E+2
-7.7422E-1	6.5662E-1	-1.5600E+2
-7.7410E-1	6.5590E-1	-6.2000E+1
-7.7398E-1	6.5638E-1	-6.8000E+1
-7.7386E-1	6.5565E-1	-3.3400E+2
-7.7375E-1	6.5419E-1	7.8200E+2
-7.7351E-1	6.5517E-1	2.7300E+2
-7.7339E-1	6.5419E-1	2.3800E+2
-7.7328E-1	6.5468E-1	3.9400E+2
-7.7316E-1	6.5225E-1	5.0300E+2
-7.7304E-1	6.5201E-1	1.2000E+1
-7.7292E-1	6.5298E-1	3.7400E+2
-7.7269E-1	6.5201E-1	-2.3000E+1
-7.7257E-1	6.5079E-1	2.1000E+2
-7.7245E-1	6.5177E-1	1.8300E+2
-7.7233E-1	6.5177E-1	6.6700E+2
-7.7222E-1	6.5225E-1	-2.4800E+2
-7.7210E-1	6.5225E-1	4.0800E+2
-7.7186E-1	6.5031E-1	1.9000E+1
-7.7175E-1	6.5055E-1	-4.7700E+2
-7.7163E-1	6.5055E-1	2.2800E+2
-7.7151E-1	6.4982E-1	-4.2100E+2
-7.7139E-1	6.4861E-1	-1.5100E+2
-7.7128E-1	6.4885E-1	-1.3400E+2
-7.7104E-1	6.4788E-1	-2.8900E+2
-7.7092E-1	6.4739E-1	9.2000E+1
-7.7080E-1	6.4739E-1	4.6100E+2
-7.7069E-1	6.4618E-1	2.6200E+2
-7.7057E-1	6.4715E-1	-2.5100E+2
