Aux out [V]	Aux in [V]	PDH out [a.u.]
-8.0810E-1	7.0035E-1	-6.8000E+1
-8.0798E-1	7.0084E-1	4.2500E+2
-8.0775E-1	7.0108E-1	-4.0300E+2
-8.0763E-1	6.9962E-1	2.3900E+2
-8.0740E-1	6.9987E-1	4.0200E+2
-8.0716E-1	6.9695E-1	6.6000E+1
-8.0704E-1	6.9817E-1	-2.7800E+2
-8.0681E-1	6.9792E-1	1.1800E+2
-8.0657E-1	6.9744E-1	7.4800E+2
-8.0645E-1	6.9938E-1	-2.5700E+2
-8.0622E-1	6.9768E-1	-6.4900E+2
-8.0598E-1	6.9865E-1	-1.0000E+0
-8.0587E-1	6.9574E-1	5.8000E+1
-8.0563E-1	6.9671E-1	4.3500E+2
-8.0551E-1	6.9574E-1	3.3000E+1
-8.0528E-1	6.9744E-1	-4.8000E+1
-8.0504E-1	6.9744E-1	-1.5900E+2
-8.0492E-1	6.9598E-1	5.6800E+2
-8.0469E-1	6.9404E-1	5.3000E+1
-8.0445E-1	6.9574E-1	3.1700E+2
-8.0434E-1	6.9622E-1	-5.2000E+2
-8.0410E-1	6.9355E-1	-2.4300E+2
-8.0387E-1	6.9355E-1	1.2800E+2
-8.0375E-1	6.9428E-1	-3.9600E+2
-8.0351E-1	6.9282E-1	-4.0100E+2
-8.0328E-1	6.9258E-1	-1.7600E+2
-8.0316E-1	6.9258E-1	-2.6600E+2
-8.0292E-1	6.9282E-1	1.0200E+2
-8.0281E-1	6.9209E-1	-2.2700E+2
-8.0257E-1	6.9209E-1	-1.7600E+2
-8.0234E-1	6.9136E-1	2.3900E+2
-8.0222E-1	6.9112E-1	-2.7600E+2
-8.0198E-1	6.9136E-1	-1.6900E+2
-8.0175E-1	6.8893E-1	4.5400E+2
-8.0163E-1	6.9161E-1	-6.0000E+1
-8.0139E-1	6.8966E-1	-4.9900E+2
-8.0116E-1	6.8918E-1	-3.7300E+2
-8.0104E-1	6.8869E-1	-7.0000E+0
-8.0081E-1	6.8772E-1	-1.9700E+2
-8.0069E-1	6.8821E-1	-4.7000E+1
-8.0045E-1	6.8796E-1	-7.5900E+2
-8.0022E-1	6.8578E-1	2.8000E+2
-8.0010E-1	6.8845E-1	-7.3000E+1
-7.9987E-1	6.8650E-1	-3.2100E+2
-7.9963E-1	6.8408E-1	-3.0800E+2
-7.9951E-1	6.8480E-1	4.9000E+2
-7.9928E-1	6.8480E-1	-5.5700E+2
-7.9904E-1	6.8505E-1	-1.6400E+2
-7.9892E-1	6.8505E-1	3.4100E+2
-7.9869E-1	6.8505E-1	1.0200E+2
-7.9857E-1	6.8408E-1	1.8000E+1
-7.9834E-1	6.8359E-1	-2.8500E+2
-7.9810E-1	6.8262E-1	4.7000E+2
-7.9798E-1	6.8286E-1	-1.8900E+2
-7.9775E-1	6.8140E-1	-2.4000E+1
-7.9751E-1	6.8165E-1	2.4300E+2
-7.9739E-1	6.8092E-1	-7.6000E+1
-7.9716E-1	6.8140E-1	3.4900E+2
-7.9692E-1	6.8067E-1	-1.9800E+2
-7.9681E-1	6.8165E-1	3.7700E+2
-7.9657E-1	6.8043E-1	9.5000E+1
-7.9645E-1	6.7922E-1	3.1400E+2
-7.9622E-1	6.7995E-1	-2.0000E+2
-7.9598E-1	6.7824E-1	2.4700E+2
-7.9587E-1	6.7995E-1	-1.8300E+2
-7.9563E-1	6.7776E-1	-7.2600E+2
-7.9539E-1	6.7776E-1	-1.8700E+2
-7.9528E-1	6.7776E-1	-1.3000E+1
-7.9504E-1	6.7873E-1	-4.9000E+2
-7.9481E-1	6.7679E-1	-2.4600E+2
-7.9469E-1	6.7824E-1	-1.7700E+2
-7.9445E-1	6.7752E-1	-1.9600E+2
-7.9422E-1	6.7654E-1	-1.0200E+2
-7.9410E-1	6.7654E-1	-5.1000E+1
-7.9386E-1	6.7703E-1	-2.4100E+2
-7.9375E-1	6.7654E-1	-1.9200E+2
-7.9351E-1	6.7533E-1	-1.1100E+2
-7.9328E-1	6.7411E-1	-5.3600E+2
-7.9316E-1	6.7460E-1	-3.8000E+1
-7.9292E-1	6.7411E-1	-4.6000E+1
-7.9269E-1	6.7290E-1	2.8900E+2
-7.9257E-1	6.7411E-1	-5.0000E+0
-7.9234E-1	6.7120E-1	3.4300E+2
-7.9210E-1	6.7047E-1	-5.8000E+1
-7.9198E-1	6.7023E-1	3.4700E+2
-7.9175E-1	6.7023E-1	2.4000E+1
