Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.4,
Horizontal Delay,0,
Sample Interval,0.004,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,0,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.248e+00,3.84,1.01
-1.244e+00,3.84,0.99
-1.240e+00,3.76,1.01
-1.236e+00,3.76,1.01
-1.232e+00,3.76,1.05
-1.228e+00,3.6,1.05
-1.224e+00,3.76,1.03
-1.220e+00,3.76,1.03
-1.216e+00,3.68,1.05
-1.212e+00,3.68,1.05
-1.208e+00,3.6,1.05
-1.204e+00,3.68,1.09
-1.200e+00,3.6,1.09
-1.196e+00,3.6,1.09
-1.192e+00,3.6,1.05
-1.188e+00,3.6,1.09
-1.184e+00,3.52,1.09
-1.180e+00,3.52,1.09
-1.176e+00,3.44,1.09
-1.172e+00,3.44,1.09
-1.168e+00,3.44,1.11
-1.164e+00,3.44,1.11
-1.160e+00,3.36,1.11
-1.156e+00,3.36,1.09
-1.152e+00,3.36,1.09
-1.148e+00,3.36,1.11
-1.144e+00,3.36,1.09
-1.140e+00,3.36,1.09
-1.136e+00,3.2,1.09
-1.132e+00,3.28,1.09
-1.128e+00,3.28,1.09
-1.124e+00,3.28,1.09
-1.120e+00,3.2,1.07
-1.116e+00,3.12,1.05
-1.112e+00,3.12,1.05
-1.108e+00,3.2,1.03
-1.104e+00,3.12,1.01
-1.100e+00,3.12,1.01
-1.096e+00,3.12,0.99
-1.092e+00,3.12,0.99
-1.088e+00,3.04,0.97
-1.084e+00,3.12,0.95
-1.080e+00,3.12,0.95
-1.076e+00,3.04,0.91
-1.072e+00,2.96,0.91
-1.068e+00,2.88,0.87
-1.064e+00,2.96,0.85
-1.060e+00,2.88,0.85
-1.056e+00,2.88,0.81
-1.052e+00,2.88,0.81
-1.048e+00,2.88,0.77
-1.044e+00,2.88,0.77
-1.040e+00,2.8,0.75
-1.036e+00,2.88,0.71
-1.032e+00,2.8,0.71
-1.028e+00,2.8,0.69
-1.024e+00,2.8,0.69
-1.020e+00,2.72,0.65
-1.016e+00,2.72,0.63
-1.012e+00,2.72,0.65
-1.008e+00,2.64,0.63
-1.004e+00,2.72,0.59
-1.000e+00,2.72,0.59
-9.960e-01,2.72,0.57
-9.920e-01,2.56,0.55
-9.880e-01,2.64,0.55
-9.840e-01,2.64,0.53
-9.800e-01,2.64,0.51
-9.760e-01,2.56,0.51
-9.720e-01,2.56,0.49
-9.680e-01,2.56,0.47
-9.640e-01,2.56,0.45
-9.600e-01,2.48,0.43
-9.560e-01,2.48,0.41
-9.520e-01,2.48,0.43
-9.480e-01,2.4,0.39
-9.440e-01,2.48,0.39
-9.400e-01,2.4,0.39
-9.360e-01,2.48,0.35
-9.320e-01,2.4,0.33
-9.280e-01,2.32,0.35
-9.240e-01,2.4,0.33
-9.200e-01,2.32,0.31
-9.160e-01,2.32,0.31
-9.120e-01,2.24,0.27
-9.080e-01,2.16,0.27
-9.040e-01,2.24,0.29
-9.000e-01,2.24,0.29
-8.960e-01,2.24,0.25
-8.920e-01,2.16,0.23
-8.880e-01,2.24,0.23
-8.840e-01,2.16,0.23
-8.800e-01,2.08,0.23
-8.760e-01,2.16,0.23
-8.720e-01,2,0.21
-8.680e-01,2,0.23
-8.640e-01,2,0.21
-8.600e-01,2,0.21
-8.560e-01,2.16,0.23
-8.520e-01,2.08,0.21
-8.480e-01,2.08,0.21
-8.440e-01,2,0.23
-8.400e-01,1.92,0.21
-8.360e-01,2,0.23
-8.320e-01,1.92,0.23
-8.280e-01,1.92,0.23
-8.240e-01,1.84,0.25
-8.200e-01,1.84,0.23
-8.160e-01,1.92,0.27
-8.120e-01,1.84,0.25
-8.080e-01,1.92,0.27
-8.040e-01,1.76,0.27
-8.000e-01,1.76,0.27
-7.960e-01,1.76,0.29
-7.920e-01,1.84,0.29
-7.880e-01,1.68,0.31
-7.840e-01,1.68,0.31
-7.800e-01,1.68,0.29
-7.760e-01,1.6,0.35
-7.720e-01,1.68,0.37
-7.680e-01,1.52,0.35
-7.640e-01,1.68,0.37
-7.600e-01,1.52,0.39
-7.560e-01,1.6,0.39
-7.520e-01,1.52,0.43
-7.480e-01,1.52,0.45
-7.440e-01,1.6,0.45
-7.400e-01,1.52,0.47
-7.360e-01,1.52,0.49
-7.320e-01,1.52,0.51
-7.280e-01,1.44,0.53
-7.240e-01,1.44,0.55
-7.200e-01,1.36,0.55
-7.160e-01,1.44,0.59
-7.120e-01,1.6,0.61
-7.080e-01,1.44,0.61
-7.040e-01,1.44,0.67
-7.000e-01,1.36,0.65
-6.960e-01,1.36,0.71
-6.920e-01,1.28,0.71
-6.880e-01,1.36,0.73
-6.840e-01,1.28,0.75
-6.800e-01,1.2,0.77
-6.760e-01,1.28,0.77
-6.720e-01,1.2,0.81
-6.680e-01,1.2,0.81
-6.640e-01,1.12,0.81
-6.600e-01,1.12,0.83
-6.560e-01,1.12,0.87
-6.520e-01,1.12,0.87
-6.480e-01,1.12,0.87
-6.440e-01,0.96,0.89
-6.400e-01,1.04,0.87
-6.360e-01,1.04,0.93
-6.320e-01,1.04,0.93
-6.280e-01,1.04,0.93
-6.240e-01,0.96,0.95
-6.200e-01,0.96,0.95
-6.160e-01,0.96,0.97
-6.120e-01,0.96,0.97
-6.080e-01,1.04,0.97
-6.040e-01,0.88,0.97
-6.000e-01,0.88,0.99
-5.960e-01,0.88,0.99
-5.920e-01,0.8,1.01
-5.880e-01,0.88,1.01
-5.840e-01,0.8,1.03
-5.800e-01,0.8,1.03
-5.760e-01,0.8,1.03
-5.720e-01,0.72,1.05
-5.680e-01,0.72,1.09
-5.640e-01,0.72,1.09
-5.600e-01,0.72,1.09
-5.560e-01,0.64,1.11
-5.520e-01,0.64,1.13
-5.480e-01,0.56,1.11
-5.440e-01,0.64,1.13
-5.400e-01,0.64,1.13
-5.360e-01,0.56,1.15
-5.320e-01,0.56,1.13
-5.280e-01,0.56,1.13
-5.240e-01,0.56,1.17
-5.200e-01,0.56,1.15
-5.160e-01,0.48,1.15
-5.120e-01,0.56,1.11
-5.080e-01,0.48,1.13
-5.040e-01,0.4,1.15
-5.000e-01,0.4,1.11
-4.960e-01,0.4,1.11
-4.920e-01,0.32,1.09
-4.880e-01,0.4,1.09
-4.840e-01,0.4,1.07
-4.800e-01,0.32,1.09
-4.760e-01,0.24,1.03
-4.720e-01,0.24,1.01
-4.680e-01,0.24,1.01
-4.640e-01,0.32,0.99
-4.600e-01,0.16,0.99
-4.560e-01,0.24,0.97
-4.520e-01,0.16,0.97
-4.480e-01,0.16,0.97
-4.440e-01,0.16,0.93
-4.400e-01,0.16,0.93
-4.360e-01,0.16,0.93
-4.320e-01,0.16,0.89
-4.280e-01,0.08,0.87
-4.240e-01,0.16,0.87
-4.200e-01,0,0.87
-4.160e-01,0.08,0.85
-4.120e-01,0,0.83
-4.080e-01,0.08,0.83
-4.040e-01,0,0.81
-4.000e-01,0,0.81
-3.960e-01,0,0.79
-3.920e-01,0,0.79
-3.880e-01,0,0.79
-3.840e-01,0,0.79
-3.800e-01,0,0.77
-3.760e-01,0,0.73
-3.720e-01,0.08,0.77
-3.680e-01,0,0.75
-3.640e-01,0.08,0.77
-3.600e-01,0.08,0.75
-3.560e-01,0.08,0.75
