Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.2,
Horizontal Delay,0,
Sample Interval,0.002,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.2
Vertical Position,0,-5
,,
,,
,,
Label,,
TIME,CH1,CH2
-6.660e-01,2.71875,1.12572
-6.640e-01,2.72781,1.12581
-6.620e-01,2.73937,1.1245
-6.600e-01,2.75031,1.12434
-6.580e-01,2.75969,1.12425
-6.560e-01,2.77062,1.12522
-6.540e-01,2.78156,1.12497
-6.520e-01,2.79156,1.12428
-6.500e-01,2.80094,1.12363
-6.480e-01,2.81281,1.12331
-6.460e-01,2.82437,1.12428
-6.440e-01,2.83375,1.12413
-6.420e-01,2.84437,1.12372
-6.400e-01,2.85625,1.12278
-6.380e-01,2.86625,1.12347
-6.360e-01,2.87781,1.12372
-6.340e-01,2.89031,1.12428
-6.320e-01,2.89969,1.12397
-6.300e-01,2.91125,1.12319
-6.280e-01,2.92313,1.12425
-6.260e-01,2.93469,1.12488
-6.240e-01,2.94406,1.12512
-6.220e-01,2.95562,1.12541
-6.200e-01,2.96719,1.12459
-6.180e-01,2.97688,1.12522
-6.160e-01,2.98531,1.1265
-6.140e-01,2.99688,1.12681
-6.120e-01,3.00531,1.12753
-6.100e-01,3.01344,1.127
-6.080e-01,3.025,1.12775
-6.060e-01,3.0375,1.12856
-6.040e-01,3.04688,1.12953
-6.020e-01,3.05688,1.12916
-6.000e-01,3.0675,1.12931
-5.980e-01,3.07719,1.13025
-5.960e-01,3.09094,1.13187
-5.940e-01,3.09969,1.13266
-5.920e-01,3.11187,1.13275
-5.900e-01,3.12375,1.13328
-5.880e-01,3.13313,1.13366
-5.860e-01,3.14406,1.13509
-5.840e-01,3.15313,1.13631
-5.820e-01,3.16406,1.13669
-5.800e-01,3.175,1.13678
-5.780e-01,3.18812,1.1385
-5.760e-01,3.19687,1.13966
-5.740e-01,3.20938,1.14116
-5.720e-01,3.22094,1.14106
-5.700e-01,3.23156,1.14153
-5.680e-01,3.24406,1.14263
-5.660e-01,3.25188,1.14416
-5.640e-01,3.26187,1.14519
-5.620e-01,3.27313,1.14613
-5.600e-01,3.28375,1.14609
-5.580e-01,3.29406,1.14784
-5.560e-01,3.30563,1.14947
-5.540e-01,3.31281,1.15047
-5.520e-01,3.32281,1.151
-5.500e-01,3.335,1.15125
-5.480e-01,3.34594,1.15288
-5.460e-01,3.35469,1.15484
-5.440e-01,3.36375,1.15616
-5.420e-01,3.37656,1.15678
-5.400e-01,3.39031,1.15722
-5.380e-01,3.39969,1.15847
-5.360e-01,3.41063,1.16166
-5.340e-01,3.42313,1.16322
-5.320e-01,3.43562,1.16375
-5.300e-01,3.44625,1.16437
-5.280e-01,3.45719,1.16519
-5.260e-01,3.46594,1.16688
-5.240e-01,3.47656,1.16822
-5.220e-01,3.48844,1.16869
-5.200e-01,3.5,1.16953
-5.180e-01,3.50781,1.17069
-5.160e-01,3.51875,1.17272
-5.140e-01,3.53125,1.17419
-5.120e-01,3.54062,1.17425
-5.100e-01,3.55219,1.17519
-5.080e-01,3.56125,1.17659
-5.060e-01,3.57063,1.17853
-5.040e-01,3.58094,1.18034
-5.020e-01,3.59094,1.18078
-5.000e-01,3.60281,1.18119
-4.980e-01,3.61219,1.18312
-4.960e-01,3.62,1.18478
-4.940e-01,3.63437,1.18647
-4.920e-01,3.64406,1.1875
-4.900e-01,3.65656,1.18772
-4.880e-01,3.66719,1.18928
-4.860e-01,3.67906,1.19122
-4.840e-01,3.68969,1.19259
-4.820e-01,3.70125,1.19347
-4.800e-01,3.71156,1.19369
-4.780e-01,3.72,1.19509
-4.760e-01,3.72781,1.19734
-4.740e-01,3.73969,1.19816
-4.720e-01,3.75062,1.19928
-4.700e-01,3.76219,1.19922
-4.680e-01,3.77125,1.20031
-4.660e-01,3.77937,1.20231
-4.640e-01,3.78719,1.20309
-4.620e-01,3.79719,1.20397
-4.600e-01,3.80719,1.20437
-4.580e-01,3.81813,1.20531
