Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.4,
Horizontal Delay,0,
Sample Interval,0.004,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,0,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.240e+00,1.12,1.56
-1.236e+00,1.12,1.56
-1.232e+00,1.2,1.56
-1.228e+00,1.2,1.48
-1.224e+00,1.2,1.48
-1.220e+00,1.2,1.48
-1.216e+00,1.2,1.48
-1.212e+00,1.28,1.4
-1.208e+00,1.28,1.4
-1.204e+00,1.28,1.4
-1.200e+00,1.28,1.32
-1.196e+00,1.36,1.4
-1.192e+00,1.44,1.4
-1.188e+00,1.28,1.4
-1.184e+00,1.36,1.4
-1.180e+00,1.44,1.48
-1.176e+00,1.52,1.56
-1.172e+00,1.44,1.4
-1.168e+00,1.44,1.32
-1.164e+00,1.52,1.16
-1.160e+00,1.44,1.24
-1.156e+00,1.6,1.16
-1.152e+00,1.6,1
-1.148e+00,1.52,0.84
-1.144e+00,1.52,0.92
-1.140e+00,1.6,0.92
-1.136e+00,1.6,1.16
-1.132e+00,1.6,1.32
-1.128e+00,1.68,1.4
-1.124e+00,1.68,1.4
-1.120e+00,1.68,1.64
-1.116e+00,1.76,1.56
-1.112e+00,1.68,1.56
-1.108e+00,1.68,1.56
-1.104e+00,1.84,1.64
-1.100e+00,1.84,1.56
-1.096e+00,1.84,1.8
-1.092e+00,1.84,2.04
-1.088e+00,1.84,2.12
-1.084e+00,1.84,2.36
-1.080e+00,1.92,2.44
-1.076e+00,2,2.68
-1.072e+00,1.92,1.64
-1.068e+00,1.92,1.64
-1.064e+00,2,1.88
-1.060e+00,2,2.76
-1.056e+00,1.92,2.76
-1.052e+00,2,2.76
-1.048e+00,2,2.76
-1.044e+00,2,2.76
-1.040e+00,2,2.68
-1.036e+00,2,2.68
-1.032e+00,2.08,2.84
-1.028e+00,2.16,2.84
-1.024e+00,2.16,3
-1.020e+00,2.24,3.24
-1.016e+00,2.16,3.24
-1.012e+00,2.16,3.16
-1.008e+00,2.24,3.08
-1.004e+00,2.24,3
-1.000e+00,2.24,2.84
-9.960e-01,2.24,2.84
-9.920e-01,2.32,2.84
-9.880e-01,2.32,3.08
-9.840e-01,2.32,3.24
-9.800e-01,2.32,3.4
-9.760e-01,2.4,3.56
-9.720e-01,2.32,3.56
-9.680e-01,2.32,3.8
-9.640e-01,2.4,3.72
-9.600e-01,2.4,3.64
-9.560e-01,2.4,3.48
-9.520e-01,2.4,3.64
-9.480e-01,2.4,3.64
-9.440e-01,2.48,3.64
-9.400e-01,2.48,3.8
-9.360e-01,2.56,3.72
-9.320e-01,2.56,3.8
-9.280e-01,2.56,3.88
-9.240e-01,2.56,3.88
-9.200e-01,2.56,3.88
-9.160e-01,2.56,3.96
-9.120e-01,2.64,3.96
-9.080e-01,2.56,3.96
-9.040e-01,2.64,4.04
-9.000e-01,2.64,4.04
-8.960e-01,2.72,4.12
-8.920e-01,2.64,4.2
-8.880e-01,2.72,4.36
-8.840e-01,2.72,4.44
-8.800e-01,2.72,4.44
-8.760e-01,2.8,4.44
-8.720e-01,2.8,4.44
-8.680e-01,2.8,4.36
-8.640e-01,2.8,4.28
-8.600e-01,2.8,4.12
-8.560e-01,2.8,4.04
-8.520e-01,2.96,4.04
-8.480e-01,2.96,3.88
-8.440e-01,2.96,3.8
-8.400e-01,2.96,3.8
-8.360e-01,2.88,3.72
-8.320e-01,2.96,3.72
-8.280e-01,3.04,3.8
-8.240e-01,2.88,3.96
-8.200e-01,2.96,4.28
-8.160e-01,3.04,4.28
-8.120e-01,2.96,4.44
-8.080e-01,3.12,4.68
-8.040e-01,3.04,4.76
-8.000e-01,3.12,4.68
-7.960e-01,3.2,4.12
-7.920e-01,3.12,3.96
-7.880e-01,3.12,3.96
-7.840e-01,3.28,3.96
-7.800e-01,3.2,4.12
-7.760e-01,3.28,4.2
-7.720e-01,3.28,4.2
-7.680e-01,3.28,4.2
-7.640e-01,3.36,4.2
-7.600e-01,3.28,4.2
-7.560e-01,3.28,4.2
-7.520e-01,3.36,4.28
-7.480e-01,3.36,4.12
-7.440e-01,3.36,4.12
-7.400e-01,3.36,4.12
-7.360e-01,3.36,4.04
-7.320e-01,3.52,4.04
-7.280e-01,3.44,3.96
-7.240e-01,3.44,4.04
-7.200e-01,3.44,3.96
-7.160e-01,3.52,3.88
-7.120e-01,3.52,3.88
-7.080e-01,3.52,3.88
-7.040e-01,3.6,3.72
-7.000e-01,3.6,3.64
-6.960e-01,3.6,3.56
-6.920e-01,3.6,3.4
-6.880e-01,3.6,3.32
-6.840e-01,3.6,3.16
-6.800e-01,3.6,3
-6.760e-01,3.68,2.76
-6.720e-01,3.68,2.52
-6.680e-01,3.76,2.28
-6.640e-01,3.6,2.2
-6.600e-01,3.68,2.2
-6.560e-01,3.76,2.12
-6.520e-01,3.76,2.12
-6.480e-01,3.76,2.04
-6.440e-01,3.84,1.96
-6.400e-01,3.76,1.96
-6.360e-01,3.84,1.8
-6.320e-01,3.92,1.8
-6.280e-01,3.92,1.72
-6.240e-01,3.84,1.72
-6.200e-01,3.92,1.48
-6.160e-01,4,1.48
-6.120e-01,3.92,1.48
-6.080e-01,3.92,1.4
-6.040e-01,3.92,1.4
-6.000e-01,4,1.4
-5.960e-01,4,1.48
-5.920e-01,4.08,1.56
-5.880e-01,4.08,1.48
-5.840e-01,4.08,1.48
-5.800e-01,4.16,1.48
-5.760e-01,4.08,1.56
-5.720e-01,4.16,1.56
-5.680e-01,4.16,1.48
-5.640e-01,4.16,1.48
-5.600e-01,4.16,1.48
-5.560e-01,4.16,1.4
-5.520e-01,4.24,1.48
-5.480e-01,4.24,1.48
-5.440e-01,4.24,1.32
-5.400e-01,4.32,1.4
-5.360e-01,4.32,1.48
-5.320e-01,4.4,1.24
-5.280e-01,4.48,1.32
-5.240e-01,4.4,1.32
-5.200e-01,4.4,1.24
-5.160e-01,4.4,1.32
-5.120e-01,4.48,1.32
-5.080e-01,4.4,1.4
-5.040e-01,4.4,1.48
-5.000e-01,4.56,1.64
-4.960e-01,4.48,1.56
-4.920e-01,4.56,1.48
-4.880e-01,4.4,1.56
-4.840e-01,4.48,1.4
-4.800e-01,4.48,1.4
-4.760e-01,4.4,1.4
-4.720e-01,4.4,1.32
-4.680e-01,4.4,1.24
-4.640e-01,4.4,1.24
-4.600e-01,4.32,1.24
-4.560e-01,4.32,1.24
-4.520e-01,4.4,1.16
