time	CH1	CH2
-6.88E-01	2.73969	1.38787
-6.86E-01	2.74969	1.38413
-6.84E-01	2.76063	1.3805
-6.82E-01	2.77156	1.37763
-6.80E-01	2.77937	1.37544
-6.78E-01	2.79094	1.37325
-6.76E-01	2.79937	1.37053
-6.74E-01	2.81125	1.3675
-6.72E-01	2.82563	1.36603
-6.70E-01	2.83531	1.36531
-6.68E-01	2.84781	1.36456
-6.66E-01	2.85938	1.36359
-6.64E-01	2.87	1.36297
-6.62E-01	2.88094	1.36344
-6.60E-01	2.89188	1.36462
-6.58E-01	2.90219	1.36563
-6.56E-01	2.91375	1.36616
-6.54E-01	2.92594	1.36697
-6.52E-01	2.93469	1.36916
-6.50E-01	2.94625	1.37194
-6.48E-01	2.95562	1.37428
-6.46E-01	2.9675	1.37622
-6.44E-01	2.97906	1.37831
-6.42E-01	2.98687	1.38128
-6.40E-01	2.9975	1.38462
-6.38E-01	3.00719	1.38766
-6.36E-01	3.01875	1.39069
-6.34E-01	3.02875	1.39394
-6.32E-01	3.03969	1.39853
-6.30E-01	3.04844	1.40366
-6.28E-01	3.05844	1.40762
-6.26E-01	3.06937	1.41166
-6.24E-01	3.08188	1.41587
-6.22E-01	3.09344	1.42069
-6.20E-01	3.10281	1.42534
-6.18E-01	3.11125	1.42988
-6.16E-01	3.12281	1.43381
-6.14E-01	3.13219	1.43797
-6.12E-01	3.14531	1.44263
-6.10E-01	3.15344	1.44828
-6.08E-01	3.16344	1.45291
-6.06E-01	3.17437	1.45644
-6.04E-01	3.18656	1.45978
-6.02E-01	3.1975	1.46347
-6.00E-01	3.20594	1.4685
-5.98E-01	3.21469	1.47325
-5.96E-01	3.22844	1.47653
-5.94E-01	3.24031	1.4795
-5.92E-01	3.25281	1.48297
-5.90E-01	3.26438	1.48694
-5.88E-01	3.27375	1.49003
-5.86E-01	3.28219	1.49241
-5.84E-01	3.29094	1.49487
-5.82E-01	3.3025	1.49753
-5.80E-01	3.315	1.50025
-5.78E-01	3.32531	1.50188
-5.76E-01	3.33531	1.50291
-5.74E-01	3.3475	1.50366
-5.72E-01	3.35875	1.50531
-5.70E-01	3.36563	1.507
-5.68E-01	3.37625	1.50778
-5.66E-01	3.38813	1.50762
-5.64E-01	3.39906	1.50675
-5.62E-01	3.40906	1.50653
-5.60E-01	3.42094	1.50622
-5.58E-01	3.43375	1.50531
-5.56E-01	3.44313	1.50334
-5.54E-01	3.45562	1.50141
-5.52E-01	3.46906	1.5
-5.50E-01	3.47844	1.49822
-5.48E-01	3.49063	1.49566
-5.46E-01	3.50062	1.49191
-5.44E-01	3.51187	1.48766
-5.42E-01	3.52188	1.48438
-5.40E-01	3.53344	1.48094
-5.38E-01	3.54281	1.47706
-5.36E-01	3.55625	1.47162
-5.34E-01	3.56531	1.46597
-5.32E-01	3.57219	1.46138
-5.30E-01	3.58094	1.45725
-5.28E-01	3.59187	1.45234
-5.26E-01	3.60188	1.44622
-5.24E-01	3.61187	1.43981
-5.22E-01	3.62156	1.43412
-5.20E-01	3.63219	1.429
-5.18E-01	3.6425	1.42403
-5.16E-01	3.65313	1.41853
-5.14E-01	3.665	1.41231
-5.12E-01	3.67563	1.40716
-5.10E-01	3.68688	1.40266
-5.08E-01	3.69969	1.39838
-5.06E-01	3.71406	1.39316
-5.04E-01	3.72469	1.38787
-5.02E-01	3.73344	1.38422
-5.00E-01	3.74188	1.38125
-4.98E-01	3.75125	1.37816
-4.96E-01	3.76063	1.37425
-4.94E-01	3.77	1.37059
-4.92E-01	3.77937	1.36822
-4.90E-01	3.79	1.36672
-4.88E-01	3.80031	1.36516
-4.86E-01	3.81125	1.36281
-4.84E-01	3.81875	1.36122
-4.82E-01	3.82969	1.36019
-4.80E-01	3.83813	1.36025
-4.78E-01	3.8475	1.36034
-4.76E-01	3.85625	1.36009
-4.74E-01	3.86719	1.35987
-4.72E-01	3.87781	1.36097
-4.70E-01	3.8875	1.36328
-4.68E-01	3.89813	1.36484
-4.66E-01	3.9075	1.36647
-4.64E-01	3.91906	1.36781
-4.62E-01	3.93063	1.37059
-4.60E-01	3.94031	1.37356
-4.58E-01	3.95031	1.37691
-4.56E-01	3.95969	1.37916
-4.54E-01	3.97281	1.38141
-4.52E-01	3.98281	1.38416
-4.50E-01	3.99094	1.38903
-4.48E-01	4.00156	1.39331
-4.46E-01	4.01344	1.39659
-4.44E-01	4.02406	1.40025
-4.42E-01	4.035	1.40428
-4.40E-01	4.04344	1.40963
-4.38E-01	4.05375	1.41519
-4.36E-01	4.06531	1.41916
-4.34E-01	4.07688	1.42272
-4.32E-01	4.08812	1.42722
-4.30E-01	4.09656	1.43222
-4.28E-01	4.10969	1.43725
-4.26E-01	4.12437	1.44138
-4.24E-01	4.13531	1.44572
-4.22E-01	4.14625	1.45069
-4.20E-01	4.15719	1.45578
-4.18E-01	4.16969	1.46013
-4.16E-01	4.18219	1.46347
-4.14E-01	4.19281	1.46694
-4.12E-01	4.20375	1.47188
-4.10E-01	4.21406	1.47706
-4.08E-01	4.22469	1.48103
-4.06E-01	4.23562	1.48375
-4.04E-01	4.24656	1.48647
-4.02E-01	4.25687	1.48969
-4.00E-01	4.26656	1.49372
-3.98E-01	4.2775	1.49681
-3.96E-01	4.28688	1.49859
-3.94E-01	4.29875	1.50006
-3.92E-01	4.30781	1.50181
-3.90E-01	4.31656	1.50428
-3.88E-01	4.32688	1.50578
-3.86E-01	4.33656	1.50616
-3.84E-01	4.34844	1.50609
-3.82E-01	4.35875	1.50653
-3.80E-01	4.36937	1.50725
-3.78E-01	4.37938	1.50731
-3.76E-01	4.39062	1.506
-3.74E-01	4.40062	1.50453
-3.72E-01	4.41125	1.5035
-3.70E-01	4.42219	1.50259
-3.68E-01	4.43094	1.50119
-3.66E-01	4.44406	1.49869
-3.64E-01	4.45563	1.49503
