CH1	CH2
0	0.77
0	0.73
0.08	0.77
0	0.75
0.08	0.77
0.08	0.75
0.08	0.75
0	0.75
0.16	0.75
0.16	0.73
0.16	0.81
0.24	0.83
0.16	0.85
0.24	0.87
0.24	0.91
0.32	0.89
0.24	0.93
0.32	0.95
0.32	0.95
0.32	0.97
0.24	0.97
0.24	0.99
0.32	1.01
0.48	0.99
0.48	1.03
0.48	1.05
0.48	1.03
0.48	1.09
0.48	1.07
0.48	1.09
0.56	1.11
0.48	1.11
0.56	1.11
0.56	1.13
0.64	1.15
0.56	1.15
0.64	1.15
0.64	1.15
0.64	1.13
0.64	1.15
0.72	1.13
0.8	1.13
0.8	1.13
0.72	1.11
0.8	1.11
0.88	1.13
0.8	1.11
0.8	1.07
0.88	1.09
0.88	1.07
0.88	1.05
0.96	1.05
0.88	1.05
0.88	1.03
0.96	1.01
0.96	0.99
1.04	0.99
1.04	0.99
1.04	0.97
1.04	0.97
1.04	0.97
1.12	0.93
1.12	0.95
1.12	0.95
1.12	0.91
1.2	0.91
1.2	0.91
1.12	0.87
1.2	0.87
1.28	0.87
1.28	0.85
1.28	0.83
1.28	0.81
1.44	0.81
1.28	0.77
1.36	0.79
1.28	0.75
1.36	0.73
1.28	0.71
1.36	0.71
1.44	0.67
1.44	0.65
1.44	0.65
1.44	0.61
1.52	0.61
1.6	0.61
1.52	0.57
1.6	0.55
1.52	0.55
1.52	0.49
1.68	0.47
1.6	0.47
1.6	0.43
1.6	0.45
1.68	0.41
1.68	0.39
1.76	0.37
1.76	0.37
1.76	0.35
1.84	0.33
1.84	0.33
1.84	0.31
1.84	0.31
1.84	0.29
2	0.27
1.92	0.27
1.84	0.27
1.92	0.25
1.92	0.25
1.92	0.25
1.92	0.23
1.92	0.23
1.92	0.23
2.08	0.23
2.08	0.23
2.24	0.23
2.08	0.19
2.16	0.21
2.16	0.21
2.08	0.21
2.08	0.21
2.24	0.23
2.16	0.21
2.24	0.23
2.24	0.21
2.24	0.23
2.24	0.21
2.24	0.23
2.32	0.23
2.32	0.25
2.48	0.27
2.4	0.27
2.4	0.29
2.48	0.29
2.4	0.31
2.4	0.33
2.48	0.31
2.48	0.33
2.48	0.35
2.48	0.35
2.48	0.35
2.56	0.37
2.56	0.41
2.56	0.41
2.56	0.43
2.56	0.45
2.56	0.45
2.64	0.47
2.64	0.49
2.64	0.49
2.64	0.51
2.72	0.51
2.64	0.55
2.72	0.55
2.8	0.55
2.8	0.57
2.8	0.59
2.8	0.61
2.8	0.65
2.72	0.65
2.72	0.65
2.88	0.69
2.96	0.69
2.96	0.71
2.96	0.71
2.96	0.71
2.88	0.75
3.04	0.77
2.96	0.79
2.96	0.83
3.04	0.83
2.96	0.87
3.04	0.85
3.12	0.89
3.12	0.93
3.12	0.91
3.12	0.93
3.12	0.97
3.2	0.97
3.2	0.99
3.28	0.99
3.2	1.01
3.28	1.03
3.28	1.03
3.28	1.05
3.28	1.07
3.28	1.05
3.36	1.07
3.36	1.09
3.36	1.11
3.44	1.09
3.44	1.09
3.52	1.09
3.52	1.11
3.52	1.11
3.52	1.13
3.52	1.11
3.44	1.11
3.52	1.09
3.52	1.09
3.6	1.09
3.6	1.11
3.6	1.09
3.68	1.09
3.6	1.09
3.68	1.11
3.76	1.07
3.76	1.07
3.68	1.05
3.76	1.07
3.84	1.05
3.76	1.05
3.84	1.03
3.84	1.03
3.92	1.03
3.84	1.01
3.84	1.03
3.92	1.01
4	1.01
4	0.99
4	0.99
4	0.99
4	0.99
4	0.97
3.92	0.97
4	0.95
4.08	0.97
4.08	0.95
4.08	0.89
4.16	0.89
4.24	0.89
4.16	0.87
4.16	0.87
4.16	0.85
4.16	0.81
4.24	0.81
4.24	0.79
4.32	0.77
4.24	0.77
4.32	0.73
4.32	0.71
4.32	0.69
4.4	0.65
4.4	0.65
4.4	0.63
4.32	0.61
4.32	0.59
4.48	0.57
4.48	0.57
4.48	0.53
4.56	0.53
4.56	0.51
4.48	0.49
4.4	0.47
4.48	0.47
4.4	0.51
4.4	0.51
4.4	0.51
4.32	0.53
4.4	0.55
4.4	0.55
4.4	0.57
4.4	0.61
4.32	0.61
4.32	0.63
4.24	0.67
4.24	0.67
4.24	0.69
4.16	0.71
4.24	0.71
4.16	0.75
4.16	0.77
