Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,0.004
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,REF1
-1.068e+00,2.14625
-1.064e+00,2.16031
-1.060e+00,2.17188
-1.056e+00,2.18188
-1.052e+00,2.19188
-1.048e+00,2.20438
-1.044e+00,2.21469
-1.040e+00,2.22562
-1.036e+00,2.23563
-1.032e+00,2.24656
-1.028e+00,2.25656
-1.024e+00,2.26688
-1.020e+00,2.27438
-1.016e+00,2.28719
-1.012e+00,2.29781
-1.008e+00,2.30656
-1.004e+00,2.315
-1.000e+00,2.32437
-9.960e-01,2.33656
-9.920e-01,2.34844
-9.880e-01,2.35906
-9.840e-01,2.37156
-9.800e-01,2.38125
-9.760e-01,2.39125
-9.720e-01,2.40125
-9.680e-01,2.41312
-9.640e-01,2.4225
-9.600e-01,2.43312
-9.560e-01,2.4425
-9.520e-01,2.44937
-9.480e-01,2.45812
-9.440e-01,2.46594
-9.400e-01,2.47375
-9.360e-01,2.48313
-9.320e-01,2.49125
-9.280e-01,2.50219
-9.240e-01,2.51187
-9.200e-01,2.52125
-9.160e-01,2.53125
-9.120e-01,2.53969
-9.080e-01,2.54906
-9.040e-01,2.55812
-9.000e-01,2.56688
-8.960e-01,2.57781
-8.920e-01,2.58719
-8.880e-01,2.59969
-8.840e-01,2.61031
-8.800e-01,2.62156
-8.760e-01,2.63313
-8.720e-01,2.64094
-8.680e-01,2.65344
-8.640e-01,2.66344
-8.600e-01,2.67188
-8.560e-01,2.68438
-8.520e-01,2.69281
-8.480e-01,2.70219
-8.440e-01,2.7125
-8.400e-01,2.72094
-8.360e-01,2.73313
-8.320e-01,2.74187
-8.280e-01,2.75438
-8.240e-01,2.765
-8.200e-01,2.77281
-8.160e-01,2.78313
-8.120e-01,2.79469
-8.080e-01,2.80625
-8.040e-01,2.815
-8.000e-01,2.82375
-7.960e-01,2.83813
-7.920e-01,2.8475
-7.880e-01,2.85906
-7.840e-01,2.86781
-7.800e-01,2.87781
-7.760e-01,2.89031
-7.720e-01,2.89906
-7.680e-01,2.91125
-7.640e-01,2.92219
-7.600e-01,2.93406
-7.560e-01,2.94406
-7.520e-01,2.95438
-7.480e-01,2.96656
-7.440e-01,2.97688
-7.400e-01,2.98687
-7.360e-01,3.00062
-7.320e-01,3.01156
-7.280e-01,3.02125
-7.240e-01,3.03094
-7.200e-01,3.03875
-7.160e-01,3.04906
-7.120e-01,3.05844
-7.080e-01,3.06937
-7.040e-01,3.08031
-7.000e-01,3.09094
-6.960e-01,3.10125
-6.920e-01,3.11187
-6.880e-01,3.12219
-6.840e-01,3.13281
-6.800e-01,3.14156
-6.760e-01,3.15344
-6.720e-01,3.16312
-6.680e-01,3.17437
-6.640e-01,3.18531
-6.600e-01,3.19375
-6.560e-01,3.20688
-6.520e-01,3.21875
-6.480e-01,3.23188
-6.440e-01,3.24188
-6.400e-01,3.25031
-6.360e-01,3.26031
-6.320e-01,3.27
-6.280e-01,3.28156
-6.240e-01,3.29156
-6.200e-01,3.30344
-6.160e-01,3.31344
-6.120e-01,3.32437
-6.080e-01,3.33531
-6.040e-01,3.34469
-6.000e-01,3.35375
-5.960e-01,3.36563
-5.920e-01,3.37656
-5.880e-01,3.38875
-5.840e-01,3.3975
-5.800e-01,3.41
-5.760e-01,3.4225
-5.720e-01,3.43312
-5.680e-01,3.44625
-5.640e-01,3.455
-5.600e-01,3.46656
-5.560e-01,3.47969
-5.520e-01,3.49063
-5.480e-01,3.5025
-5.440e-01,3.51031
-5.400e-01,3.52031
-5.360e-01,3.53031
-5.320e-01,3.53812
-5.280e-01,3.54813
-5.240e-01,3.55844
-5.200e-01,3.56906
-5.160e-01,3.57781
-5.120e-01,3.59125
-5.080e-01,3.60188
-5.040e-01,3.61063
-5.000e-01,3.62062
-4.960e-01,3.63375
-4.920e-01,3.64406
-4.880e-01,3.65625
-4.840e-01,3.66469
-4.800e-01,3.67406
-4.760e-01,3.68531
-4.720e-01,3.69687
-4.680e-01,3.71063
-4.640e-01,3.72031
-4.600e-01,3.73188
-4.560e-01,3.74188
-4.520e-01,3.75031
-4.480e-01,3.76125
-4.440e-01,3.76969
-4.400e-01,3.77687
-4.360e-01,3.78938
-4.320e-01,3.79844
-4.280e-01,3.80938
-4.240e-01,3.81875
-4.200e-01,3.82812
-4.160e-01,3.83906
-4.120e-01,3.84594
-4.080e-01,3.85719
-4.040e-01,3.86781
-4.000e-01,3.87813
-3.960e-01,3.89125
-3.920e-01,3.90031
-3.880e-01,3.91063
-3.840e-01,3.92219
-3.800e-01,3.93406
-3.760e-01,3.945
-3.720e-01,3.95438
-3.680e-01,3.96188
-3.640e-01,3.97281
-3.600e-01,3.98063
-3.560e-01,3.99094
-3.520e-01,4.00156
-3.480e-01,4.01406
-3.440e-01,4.0225
-3.400e-01,4.03094
-3.360e-01,4.04281
-3.320e-01,4.05375
-3.280e-01,4.06469
-3.240e-01,4.07531
-3.200e-01,4.08344
-3.160e-01,4.095
-3.120e-01,4.10344
-3.080e-01,4.11656
-3.040e-01,4.12906
-3.000e-01,4.14219
-2.960e-01,4.15188
-2.920e-01,4.16469
-2.880e-01,4.17656
-2.840e-01,4.18687
-2.800e-01,4.19813
-2.760e-01,4.21
-2.720e-01,4.21875
-2.680e-01,4.22938
-2.640e-01,4.24031
-2.600e-01,4.25125
-2.560e-01,4.26125
-2.520e-01,4.27062
-2.480e-01,4.28156
-2.440e-01,4.28937
-2.400e-01,4.29781
-2.360e-01,4.31031
-2.320e-01,4.32062
-2.280e-01,4.33219
-2.240e-01,4.34281
-2.200e-01,4.3525
-2.160e-01,4.36469
-2.120e-01,4.37469
-2.080e-01,4.38406
-2.040e-01,4.395
-2.000e-01,4.40688
-1.960e-01,4.41844
-1.920e-01,4.42875
-1.880e-01,4.43844
-1.840e-01,4.44937
-1.800e-01,4.45969
-1.760e-01,4.47063
-1.720e-01,4.47906
-1.680e-01,4.49
-1.640e-01,4.49937
-1.600e-01,4.50938
-1.560e-01,4.52281
-1.520e-01,4.53188
-1.480e-01,4.54438
-1.440e-01,4.55219
-1.400e-01,4.56219
-1.360e-01,4.57469
-1.320e-01,4.58312
-1.280e-01,4.59438
-1.240e-01,4.605
-1.200e-01,4.61375
-1.160e-01,4.62437
-1.120e-01,4.63438
-1.080e-01,4.64531
-1.040e-01,4.65656
-1.000e-01,4.66625
